,group,cb_Precision@10,cb_Recall@10,cb_NDCG@10,cb_MAP@10,userknn_Precision@10,userknn_Recall@10,userknn_NDCG@10,userknn_MAP@10,itemknn_Precision@10,itemknn_Recall@10,itemknn_NDCG@10,itemknn_MAP@10,mf_Precision@10,mf_Recall@10,mf_NDCG@10,mf_MAP@10,bpr_Precision@10,bpr_Recall@10,bpr_NDCG@10,bpr_MAP@10
0,cold,0.024074074074074074,0.01759025439580995,0.03323930782955295,0.017499999999999998,0.005555555555555557,0.003851010101010101,0.004340861294875924,0.0009332745443856555,0.0,0.0,0.0,0.0,0.10185185185185182,0.08387654919517666,0.12165543004910481,0.05568399307596838,0.2481481481481481,0.21316319845731607,0.2782723256963648,0.1448798092625253
1,light,0.044444444444444446,0.01838114454987443,0.05204194654584007,0.019579602496269163,0.017094017094017096,0.007191959561780985,0.01856637194298119,0.006803350970017636,0.00641025641025641,0.0014792428935636163,0.005138279044804733,0.0012664495997829332,0.12393162393162394,0.059582835382590384,0.13488986508373949,0.060637046485260776,0.2611111111111111,0.14961083622247823,0.2953073954036472,0.16427935894205734
2,medium,0.14038461538461539,0.02027056701561653,0.13979672850107983,0.058889397639397635,0.025,0.002924413802245226,0.02740834558755638,0.011846509971509971,0.08205128205128205,0.010963540385303014,0.07530613568129627,0.028301027676027674,0.2570512820512821,0.035270573441835804,0.25475625744089453,0.13677573005698007,0.4493589743589743,0.06633924081559243,0.47476575190406706,0.3227134571777429
3,heavy,0.1866666666666667,0.015078820014160506,0.19330200126398367,0.09035185185185185,0.03333333333333333,0.003954281674625662,0.033062594697996425,0.010785714285714287,0.02666666666666667,0.0023987973674251075,0.0342352366500022,0.0135,0.35333333333333333,0.032885387321278214,0.38622343218637994,0.2486613756613756,0.5066666666666666,0.05630478453430459,0.5157728626807442,0.360026455026455
